"";"gender";"age";"hours";"evaluation";"salary";"status"
"1";"male";32,5826690346003;41,8862561741214;3;1;"fired"
"2";"female";41,2110400013626;36,3433922436096;2;5;"fired"
"3";"male";37,705163937062;36,8171787625267;3;0;"fired"
"4";"female";30,0605129729956;38,9603170783873;3;2;"fired"
"5";"male";21,1028271447867;62,1546391892022;5;3;"promoted"
"6";"male";40,1181209459901;69,5397347424796;2;0;"fired"
"7";"female";40,2670001145452;71,3348493249554;4;0;"promoted"
"9";"male";31,5040393732488;36,8111613527988;2;4;"ok"
"10";"female";32,6709046866745;51,9688714966103;2;4;"fired"
"12";"female";33,1611937191337;55,0874711468204;4;4;"promoted"
"13";"female";40,2751288469881;51,6019780754906;5;5;"fired"
"15";"male";38,2937124650925;75,2663045310647;2;1;"promoted"
"16";"male";40,7406022213399;50,0057856252426;5;2;"promoted"
"17";"male";58,1946405023336;36,2339025477689;2;4;"fired"
"18";"female";53,9033760875463;37,7481082371822;4;3;"promoted"
"19";"male";27,4291160237044;39,4093619445211;5;1;"ok"
"20";"female";34,6183504257351;35,0918977181156;5;3;"fired"
"22";"female";38,1754860747606;35,7055995598069;2;1;"fired"
"23";"male";52,6853304263204;35,3939099993411;5;0;"fired"
"24";"male";27,6236200612038;39,6246163530742;5;4;"ok"
"25";"female";51,6961379814893;56,0992344745098;3;5;"fired"
"26";"male";26,9036576338112;38,0747639490604;4;0;"promoted"
"27";"female";21,1471081897616;40,0755769860292;2;4;"fired"
"28";"male";25,2308908849955;35,2593135284981;2;4;"ok"
"30";"male";54,1782038100064;71,6337153279216;2;2;"promoted"
"32";"female";39,5967289246619;43,9807345633168;2;4;"fired"
"33";"male";27,5526763871312;35,1738128130234;3;1;"ok"
"34";"female";59,8092417698354;62,1086655195337;4;5;"promoted"
"35";"female";47,0795999933034;65,0868846002579;3;5;"fired"
"36";"female";57,3293568007648;40,1446003327301;3;5;"fired"
"37";"female";41,9531064480543;74,9334060594413;5;4;"promoted"
"38";"male";52,711245296523;37,9074986037086;3;1;"fired"
"39";"male";21,235885117203;63,8686989525055;2;5;"promoted"
"40";"male";57,1967214904726;42,1110572225851;5;4;"fired"
"41";"male";39,3031638395041;35,9305246317111;3;0;"fired"
"42";"female";40,7426477223635;35,265412445522;4;5;"fired"
"44";"male";56,4514483418316;45,159990204137;5;4;"promoted"
"45";"female";46,7609344236553;66,4230785054627;4;4;"promoted"
"46";"male";42,6935490127653;35,0157710704729;2;3;"ok"
"47";"male";49,763127444312;49,1648466095703;3;2;"ok"
"48";"male";36,9354666955769;39,7938927687307;3;3;"fired"
"49";"female";42,5146682653576;37,4335831351809;2;5;"fired"
"50";"male";52,0487552508712;45,6544149216045;2;1;"ok"
"51";"male";40,772071024403;35,020094116805;3;1;"fired"
